"NazevZarizeni","Obec"
"MUDr. Helena Caisová","Abertamy"
"Lékárna Lada s.r.o.","Adamov"
"MUDr. Zuzana Kuchařová","Adamov"
"MUDr. Eva Tomaštíková","Adamov"
"BK DENT s.r.o.","Adamov"
"MUDr. Petra Vodáková","Adamov"
"MUDr. Košťálová Lenka, s.r.o.","Adamov"
"Mgr. KLÁRA DOUBKOVÁ","Adamov"
"Vlasta Ryplová","Adamov"
"MUDr. MARTA MIČÍNOVÁ","Adamov"
"MUDr. Radim Stejskal, ordinace s.r.o.","Adamov"
"MUDr. Bořivoj Červenka","Adršpach"
"ZNL spol. s r.o.","Adršpach"
"MUDr. Jaroslava Wichrová","Albrechtice"
"Mgr. Eva Kalinová - LÉKÁRNA "" VE STŘEDISKU ""","Albrechtice"
"MostynMED s.r.o.","Albrechtice"
"Mgr. Lada Červenková","Albrechtice"
"Meagynex s.r.o.","Albrechtice"
"MUDr. Věra Ruferová","Albrechtice nad Orlicí"
"Domovy na Orlici","Albrechtice nad Orlicí"
"Praktický lékař Písek s.r.o.","Albrechtice nad Vltavou"
"MUDr. Zbyněk Černý","Anenská Studánka"
"MUDr. Renata Severová, odborný lékař psychiatr","Anenská Studánka"
"Domov u studánky","Anenská Studánka"
"MUDr. Darja Canovová","Archlebov"
"MUDr. Petr Canov, s.r.o.","Archlebov"
"MUDr. Josef Berka, s.r.o.","Archlebov"
"Valerie Machová","Arnoltice"
"JOSEF JIRMÁSEK","Aš"
"Věnceslava Plavcová","Aš"
"MUDr. Václav Ouřada","Aš"
"MUDr. Petr Šácha","Aš"
"MUDr. Eva Pavlečková","Aš"
"MUDr. Petr Vojkůvka","Aš"
"Marta Rožánková","Aš"
"Věra Vychodilová","Aš"
"Věra Vychodilová","Aš"
"MUDr. Richard Doležal","Aš"
"CARVAC s.r.o., LDN","Aš"
"Světluše Tkadlec","Aš"
"MUDr. Mohamed Abulkasim","Aš"
"MUDr. Lucie Trynerová","Aš"
"MUDr. Dana Bajerová","Aš"
"MUDr. Miroslav Manda","Aš"
"Vladimír Kummer","Aš"
"DIA-GON MP, spol. s r.o., odběrová místnost","Aš"
"Dimitrios Silov","Aš"
"SangLab - klinická laboratoř, s.r.o.","Aš"
"MUDr. Štefan Tomčík","Aš"
"IPC Alfa s.r.o., Lékárna Travel Free","Aš"
"Zdravotnická záchranná služba Karlovarského kraje, příspěvková organizace","Aš"
"GYNCARE-Aš s.r.o.","Aš"
"Mediclinic a.s.","Aš"
"Mediclinic a.s.","Aš"
"Mediclinic a.s.","Aš"
"MEDICA GR s.r.o.","Aš"
"Revmatologie Mariánské Lázně s.r.o.","Aš"
"Doktor Mádr s.r.o.","Aš"
"ČESKÁ LÉKÁRNA HOLDING, a. s., Dr. Max Lékárna","Aš"
"MEDITAIR s.r.o.","Aš"
"Lékárna U Slunce s.r.o.","Aš"
"Schreiner med centrum s.r.o.","Aš"
"Rehabilitace Vrch s.r.o.","Aš"
"Pilulka Lékárny a.s.","Aš"
"Karlovarská krajská nemocnice a.s., Nemocnice Cheb, lékařská pohotovostní služba","Aš"
"Falck Emergency a.s.","Aš"
"MUDr. Jana Petrášová s. r. o.","Aš"
"Medica Dent s.r.o.","Aš"
"Ortopedie MUDr. David Kňourek s.r.o.","Aš"
"BARBORA FOJTOVÁ DiS.","Aš"
"Prevence Doktor Mádr s.r.o.","Aš"
"MUDr. Jakub Černý","Babice"
"PharmDr. JANA KLASOVITÁ, Lékárna Babice","Babice"
"MUDr. Igor Bychler s.r.o.","Babice"
"Bc. ADÉLA ŠTĚRBOVÁ","Babice"
"Medicprax s.r.o.","Babice nad Svitavou"
"Mgr. Magdalena marie Šťastná","Babice nad Svitavou"
"MUDr. Jaroslav Chalaš","Bakov nad Jizerou"
"MUDr. Přemysl Dvořák","Bakov nad Jizerou"
"RNDr. Jana Potužáková, Lékárna Bakov","Bakov nad Jizerou"
"Jitka Zítková, stomatologická laboratoř","Bakov nad Jizerou"
"Topdent s.r.o.","Bakov nad Jizerou"
"MB LABORATOŘ s.r.o.","Bakov nad Jizerou"
"FYZIO-REHAB, s.r.o.","Bakov nad Jizerou"
"MUDr. Lenka Fiedlerová","Bakov nad Jizerou"
"MUDr. Iva Turková s.r.o.","Bakov nad Jizerou"
"Oblastní nemocnice Mladá Boleslav, a.s., nemocnice Středočeského kraje, ambulance gynekologie","Bakov nad Jizerou"
"Kateřina Šléglová DiS.","Bakov nad Jizerou"
"MUDr. Michal Pukovec","Bartošovice"
"MUDr. Petra Frőmlová","Bartošovice"
"MUDr. HANA KLOSOVÁ","Bartošovice"
"MUDr. Marie Kodysová","Batelov"
"MUDr. Libor Kopuletý","Batelov"
"MUDr. Lenka Jindřichová","Batelov"
"MUDr. Marie Kodysová s.r.o.","Batelov"
"MEDIKA demure s.r.o., Lékárna Violka","Batelov"
"Avicenna Dent s.r.o.","Batelov"
"MUDr. Stiebler s.r.o.","Bavorov"
"Panapharm s.r.o., OOVL - L VOLARY","Bavorov"
"GYNENATAL s.r.o.","Baška"
"SESTŘIČKA.CZ - DOMÁCÍ PÉČE FRÝDECKO s.r.o.","Baška"
"Lékař Baška s.r.o.","Baška"
"SESTŘIČKA.CZ - DOMÁCÍ PÉČE FRÝDECKO s.r.o.","Baška"
"MUDr. Magda Suchopárová","Bechlín"
"Josef Boubalík","Bechyně"
"Jiří Honsa","Bechyně"
"MUDr. Zlatuše Mikulášová","Bechyně"
"Lázně Bechyně s.r.o.","Bechyně"
"MUDr. Jana Motičková","Bechyně"
"MUDr. Jitka Smolíková","Bechyně"
"MUDr. Pavel Krejča","Bechyně"
"MUDr. Tomáš Pospíšil","Bechyně"
"MUDr. Jitka Pospíšilová","Bechyně"
"MUDr. Karel Zeiner","Bechyně"
"MUDr. Jitka Trucová","Bechyně"
"Oldřich Bouček","Bechyně"
"Klinické laboratoře Tábor, a.s., odběrová místnost","Bechyně"
"Nemocnice Tábor, a.s., domácí péče","Bechyně"
"MEDI ARNIKA s.r.o.","Bechyně"
"Mgr. Pavla Blahová - logopedie","Bechyně"
"MDDr. Tomáš Pospíšil - samostatná ordinace praktického lékaře - stomatologa","Bechyně"
"Lázně Jupiter Bechyně s.r.o.","Bechyně"
"Marie Bambasová - fyzioterapeut","Bechyně"
"MUDr. Andrea Stuchlíková s.r.o.","Bechyně"
"MUDr. Serbessa s.r.o.","Bechyně"
"Mgr. Petra Makovcová, Libušina lékárna","Bechyně"
"Smart Fyzio s.r.o.","Bechyně"
"Lázně Bechyně s.r.o., pouze ubytování hotelového typu","Bechyně"
"Lázně Bechyně s.r.o., pouze ubytování hotelového typu","Bechyně"
"Lázně Bechyně s.r.o.","Bechyně"
"Lázně Bechyně s.r.o., pouze ubytování hotelového typu","Bechyně"
"Lázně Bechyně s.r.o., pouze ubytování hotelového typu","Bechyně"
"Lázně Bechyně s.r.o.","Bechyně"
"Lázně Bechyně s.r.o., pouze ubytování hotelového typu","Bechyně"
"Domov pro seniory Bechyně","Bechyně"
"Lázně Jupiter Bechyně s.r.o.","Bechyně"
"Lázně Jupiter Bechyně s.r.o.","Bechyně"
"Lázně Jupiter Bechyně s.r.o., pouze ubytování hotelového typu","Bechyně"
"Ko-Medica s.r.o.","Bechyně"
"MUDr. Petr Stavěl","Bedihošť"
"ROcardia s.r.o.","Bedihošť"
"MUDr. SYLVA RICHTEROVÁ","Bedihošť"
"Lázně Bedřichov s.r.o., fyziaterapeut","Bedřichov"
"PhDr. Věra Tawilová","Benešov"
"MUDr. Miroslav Poprac","Benešov"
"Daniela Císařová, výdejna zdravotnických prostředků","Benešov"
"ALMA Benešov, s.r.o., Lékárna Na Bezděkově","Benešov"
"Jana Kudrnová, samostatná stomatologická laboratoř","Benešov"
"MUDr. Hana Chaurová","Benešov"
"MUDr. Vladimír Plecháč","Benešov"
"MUDr. Eva Vorlová","Benešov"
"MUDr. Antonín Gorgoň","Benešov"
"MUDr. Helena Kardová","Benešov"
"Mgr. Hana Boučková, samostatné zařízení logopedické","Benešov"
"MUDr. Jana Sádovská","Benešov"
"MUDr. Alexandr Březina","Benešov"
"PhDr. Karel Kříž, klinická psychologie","Benešov"
"MUDr. Růžena Munduchová","Benešov"
"MUDr. Milena Hofmanová","Benešov"
"MUDr. Jiří Dvořák","Benešov"
"MUDr. Jaroslav Pečenka","Benešov"
"MUDr. Petr Sedláček","Benešov"
"MUDr. Vladislav Šindelka","Benešov"
"MUDr. Jiřina Vejvodová","Benešov"
"Jiří Zvára, rehabilitace","Benešov"
"MUDr. Dagmar Křížková","Benešov"
"MUDr. Radka Šafandová","Benešov"
"MUDr. František Hladík","Benešov"
"Lékárna Na zámecké, s.r.o.","Benešov"
"MUDr. Petra Křišťálová","Benešov"
"MUDr. Antonín Gorgoň","Benešov"
"MUDr. Josef Štěpánek","Benešov"
