'NazevZarizeni','Obec'
'MUDr. Košťálová Lenka, s.r.o.','Adamov'
'Mgr. KLÁRA DOUBKOVÁ','Adamov'
'Vlasta Ryplová','Adamov'
'MUDr. MARTA MIČÍNOVÁ','Adamov'
'MUDr. Radim Stejskal, ordinace s.r.o.','Adamov'
'Meagynex s.r.o.','Albrechtice'
'Domovy na Orlici','Albrechtice nad Orlicí'
'Praktický lékař Písek s.r.o.','Albrechtice nad Vltavou'
'Domov u studánky','Anenská Studánka'
'MUDr. Petr Canov, s.r.o.','Archlebov'
'MUDr. Josef Berka, s.r.o.','Archlebov'
'Pilulka Lékárny a.s.','Aš'
'Karlovarská krajská nemocnice a.s., Nemocnice Cheb, lékařská pohotovostní služba','Aš'
'Falck Emergency a.s.','Aš'
'MUDr. Jana Petrášová s. r. o.','Aš'
'Medica Dent s.r.o.','Aš'
'Ortopedie MUDr. David Kňourek s.r.o.','Aš'
'BARBORA FOJTOVÁ DiS.','Aš'
'Prevence Doktor Mádr s.r.o.','Aš'
'PharmDr. JANA KLASOVITÁ, Lékárna Babice','Babice'
'MUDr. Igor Bychler s.r.o.','Babice'
'Bc. ADÉLA ŠTĚRBOVÁ','Babice'
'Mgr. Magdalena marie Šťastná','Babice nad Svitavou'
'MUDr. Iva Turková s.r.o.','Bakov nad Jizerou'
'Oblastní nemocnice Mladá Boleslav, a.s., nemocnice Středočeského kraje, ambulance gynekologie','Bakov nad Jizerou'
'Kateřina Šléglová DiS.','Bakov nad Jizerou'
'MUDr. HANA KLOSOVÁ','Bartošovice'
'MEDIKA demure s.r.o., Lékárna Violka','Batelov'
'Avicenna Dent s.r.o.','Batelov'
'MUDr. Stiebler s.r.o.','Bavorov'
'Panapharm s.r.o., OOVL - L VOLARY','Bavorov'
'Lékař Baška s.r.o.','Baška'
'SESTŘIČKA.CZ - DOMÁCÍ PÉČE FRÝDECKO s.r.o.','Baška'
'Mgr. Petra Makovcová, Libušina lékárna','Bechyně'
'Smart Fyzio s.r.o.','Bechyně'
'Lázně Bechyně s.r.o., pouze ubytování hotelového typu','Bechyně'
'Lázně Bechyně s.r.o., pouze ubytování hotelového typu','Bechyně'
'Lázně Bechyně s.r.o.','Bechyně'
'Lázně Bechyně s.r.o., pouze ubytování hotelového typu','Bechyně'
'Lázně Bechyně s.r.o., pouze ubytování hotelového typu','Bechyně'
'Lázně Bechyně s.r.o.','Bechyně'
'Lázně Bechyně s.r.o., pouze ubytování hotelového typu','Bechyně'
'Domov pro seniory Bechyně','Bechyně'
'Lázně Jupiter Bechyně s.r.o.','Bechyně'
'Lázně Jupiter Bechyně s.r.o.','Bechyně'
'Lázně Jupiter Bechyně s.r.o., pouze ubytování hotelového typu','Bechyně'
'Ko-Medica s.r.o.','Bechyně'
'MUDr. Petr Stavěl','Bedihošť'
'ROcardia s.r.o.','Bedihošť'
'MUDr. SYLVA RICHTEROVÁ','Bedihošť'
'Lázně Bedřichov s.r.o., fyziaterapeut','Bedřichov'
'MDDr. Adam Řeháček','Benešov'
'DERMACARE KRČSKÁ s.r.o.','Benešov'
'Jana Petrášková, DiS.','Benešov'
'MUDr. Michal Albert s.r.o.','Benešov'
'Topdent s.r.o.','Benešov'
'Interna Benešov s.r.o.','Benešov'
'MUDr. HELENA HRMOVÁ DIABETOLOGIE / INTERNA s.r.o.','Benešov'
'SpineCord BN s.r.o.','Benešov'
'ProMedicus Home Care Services s.r.o.','Benešov'
'MEDICON Services s.r.o.','Benešov'
'Mgr. Jiří Fiala','Benešov'
'MUDr. Vlastimil Žilka s.r.o.','Benešov'
'MUDr. Pavel Dvořák s.r.o.','Benešov'
'Dent & Life Zubní laboratoř s.r.o.','Benešov'
'DENTAL JANA s.r.o.','Benešov'
'Nemocnice Rudolfa a Stefanie Benešov, a.s., nemocnice Středočeského kraje, odběrová místnost','Benešov'
'Medclin, s.r.o.','Benešov'
'MDDr. MICHAL NÁPRAVNÍK','Benešov'
'LICHEMA s.r.o.','Benešov'
'Uzdravení s. r. o.','Benešov'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Benešov'
